,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,EUR,1.1440000000000001,40

Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
,51282,,UNIFLEX TUBES 0665.060.075.120,SET,41.657,41.657,1,"{""sharedFormula"":""I5""}",1,41.657,EUR(€) ,,1906.22432,0.22630560928433258,KABELSCHLEPP ,1.4285714285714286,59.51,59.51,59.51,"{""sharedFormula"":""U5""}",1.144,36.19,2463.7949335999997,2463.7949335999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.69 kgs
,51276,,UNIFLEX TUBES 0665.060.050.300,SET,39.82000000000001,39.82000000000001,1,"{""sharedFormula"":""I5""}",1,39.82000000000001,EUR(€) ,,1822.1632000000004,0.22636389427471848,KABELSCHLEPP ,1.4286790557508786,56.88999999999999,56.88999999999999,56.89,1.248976508630867e-16,1.144,36.19,2355.3233703999995,2355.323370399999,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.38 kgs
,51275,,UNIFLEX TUBES 0665.060.050.250,SET,39.82000000000001,39.82000000000001,1,"{""sharedFormula"":""I5""}",1,39.82000000000001,EUR(€) ,,1822.1632000000004,0.22636389427471848,KABELSCHLEPP ,1.4286790557508786,56.88999999999999,56.88999999999999,56.89,1.248976508630867e-16,1.144,36.19,2355.3233703999995,2355.323370399999,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.38 kgs
,51274,,UNIFLEX TUBES 0665.060.050.200,SET,39.82000000000001,39.82000000000001,1,"{""sharedFormula"":""I5""}",1,39.82000000000001,EUR(€) ,,1822.1632000000004,0.22636389427471848,KABELSCHLEPP ,1.4286790557508786,56.88999999999999,56.88999999999999,56.89,1.248976508630867e-16,1.144,36.19,2355.3233703999995,2355.323370399999,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.38 kgs
,51273,,UNIFLEX TUBES 0665.060.050.140,SET,39.82000000000001,39.82000000000001,1,"{""sharedFormula"":""I5""}",1,39.82000000000001,EUR(€) ,,1822.1632000000004,0.22636389427471848,KABELSCHLEPP ,1.4286790557508786,56.88999999999999,56.88999999999999,56.89,1.248976508630867e-16,1.144,36.19,2355.3233703999995,2355.323370399999,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.38 kgs
,51272,,UNIFLEX TUBES 0665.060.050.120,SET,39.82000000000001,39.82000000000001,1,"{""sharedFormula"":""I5""}",1,39.82000000000001,EUR(€) ,,1822.1632000000004,0.22636389427471848,KABELSCHLEPP ,1.4286790557508786,56.88999999999999,56.88999999999999,56.89,1.248976508630867e-16,1.144,36.19,2355.3233703999995,2355.323370399999,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.38 kgs
,51176,,UNIFLEX TUBES 0555.060.150.230,SET,36.113,36.113,1,"{""sharedFormula"":""I5""}",1,36.113,EUR(€) ,,1652.5308800000003,0.22630560928433252,KABELSCHLEPP ,1.4285714285714286,51.59,51.59,51.59,"{""sharedFormula"":""U5""}",1.144,36.19,2135.8961624,2135.8961624,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.66 kgs
,51175,,UNIFLEX TUBES 0555.060.150.200,SET,36.113,36.113,1,"{""sharedFormula"":""I5""}",1,36.113,EUR(€) ,,1652.5308800000003,0.22630560928433252,KABELSCHLEPP ,1.4285714285714286,51.59,51.59,51.59,"{""sharedFormula"":""U5""}",1.144,36.19,2135.8961624,2135.8961624,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.66 kgs
,51174,,UNIFLEX TUBES 0555.060.150.160,SET,36.113,36.113,1,"{""sharedFormula"":""I5""}",1,36.113,EUR(€) ,,1652.5308800000003,0.22630560928433252,KABELSCHLEPP ,1.4285714285714286,51.59,51.59,51.59,"{""sharedFormula"":""U5""}",1.144,36.19,2135.8961624,2135.8961624,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.66 kgs
,51173,,UNIFLEX TUBES 0555.060.150.125,SET,36.113,36.113,1,"{""sharedFormula"":""I5""}",1,36.113,EUR(€) ,,1652.5308800000003,0.22630560928433252,KABELSCHLEPP ,1.4285714285714286,51.59,51.59,51.59,"{""sharedFormula"":""U5""}",1.144,36.19,2135.8961624,2135.8961624,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.66 kgs
