,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No. ,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New) Make same Price as Standard Price (THB)
=JPY/USD*Mul.","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
A15,0011,AL522,AL522-RP,LINK,45,45,1,"{""sharedFormula"":""I6""}",0.333,14.985000000000001,JPY(¥),,4.457138400000001,0.4957988235294117,THB DRIVE CHAIN,0.37777777777777777,17,17,17,"{""sharedFormula"":""U5""}",0.52,1,8.84,8.84,"{""sharedFormula"":""Z5""}",,TC
A15,5012,AL544-JL,AL544-MLJL,PC,336,336,1,"{""sharedFormula"":""I6""}",0.333,111.888,JPY(¥),,33.279966720000004,0.4838714838709677,THB DRIVE CHAIN,0.36904761904761907,124,124,124,"{""sharedFormula"":""U5""}",0.52,1,64.48,64.48,"{""sharedFormula"":""Z5""}",,TC
A15,0012,AL544,AL544-RP,LINK,78,78,1,"{""sharedFormula"":""I6""}",0.333,25.974,JPY(¥),,7.725706560000001,0.4876852413793103,THB DRIVE CHAIN,0.3717948717948718,29,29,29,"{""sharedFormula"":""U5""}",0.52,1,15.08,15.08,"{""sharedFormula"":""Z5""}",,TC
A15,5013,AL566-JL,AL566-MLJL,PC,387,387,1,"{""sharedFormula"":""I6""}",0.333,128.871,JPY(¥),,38.33139024000001,0.48809574999999983,THB DRIVE CHAIN,0.37209302325581395,144,144,144,"{""sharedFormula"":""U5""}",0.52,1,74.88,74.88,"{""sharedFormula"":""Z5""}",,TC
A15,0013,AL566,AL566-RP,LINK,111,111,1,"{""sharedFormula"":""I6""}",0.333,36.963,JPY(¥),,10.994274720000002,0.48432107317073164,THB DRIVE CHAIN,0.36936936936936937,41,41,41,"{""sharedFormula"":""U5""}",0.52,1,21.32,21.32,"{""sharedFormula"":""Z5""}",,TC
A15,5014,AL622-JL,AL622-MLJL,PC,336,336,1,"{""sharedFormula"":""I6""}",0.333,111.888,JPY(¥),,33.279966720000004,0.4838714838709677,THB DRIVE CHAIN,0.36904761904761907,124,124,124,"{""sharedFormula"":""U5""}",0.52,1,64.48,64.48,"{""sharedFormula"":""Z5""}",,TC
A15,0014,AL622,AL622-RP,LINK,66,66,1,"{""sharedFormula"":""I6""}",0.333,21.978,JPY(¥),,6.537136320000002,0.47619099999999986,THB DRIVE CHAIN,0.36363636363636365,24,24,24,"{""sharedFormula"":""U5""}",0.52,1,12.48,12.48,"{""sharedFormula"":""Z5""}",,TC
A15,5015,AL644-JL,AL644-MLJL,PC,387,387,1,"{""sharedFormula"":""I6""}",0.333,128.871,JPY(¥),,38.33139024000001,0.48809574999999983,THB DRIVE CHAIN,0.37209302325581395,144,144,144,"{""sharedFormula"":""U5""}",0.52,1,74.88,74.88,"{""sharedFormula"":""Z5""}",,TC
A15,0015,AL644,AL644-RP,LINK,115,115,1,"{""sharedFormula"":""I6""}",0.333,38.295,JPY(¥),,11.390464800000002,0.490587441860465,THB DRIVE CHAIN,0.3739130434782609,43,43,43,"{""sharedFormula"":""U5""}",0.52,1,22.36,22.36,"{""sharedFormula"":""Z5""}",,TC
A15,5016,AL666-JL,AL666-MLJL,PC,444,444,1,"{""sharedFormula"":""I6""}",0.333,147.852,JPY(¥),,43.97709888000001,0.4874463999999999,THB DRIVE CHAIN,0.3716216216216216,165,165,165,"{""sharedFormula"":""U5""}",0.52,1,85.8,85.8,"{""sharedFormula"":""Z5""}",,TC
