,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26

Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
R31,1031,,BS95-80E,PC,96470,96470,1,"{""sharedFormula"":""I55""}",1,96470,JPY(¥),,28694.0368,0.06783822495106752, SCG GROUP (CAM CLUTCH),1.4181610863480876,136810,136810,136810,"{""sharedFormula"":""U55""}",1,0.225,30782.25,30782.25,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,1032,,BS95-85E,PC,96470,96470,1,"{""sharedFormula"":""I55""}",1,96470,JPY(¥),,28694.0368,0.06783822495106752, SCG GROUP (CAM CLUTCH),1.4181610863480876,136810,136810,136810,"{""sharedFormula"":""U55""}",1,0.225,30782.25,30782.25,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,1033,,BS95-90E,PC,96470,96470,1,"{""sharedFormula"":""I55""}",1,96470,JPY(¥),,28694.0368,0.06783822495106752, SCG GROUP (CAM CLUTCH),1.4181610863480876,136810,136810,136810,"{""sharedFormula"":""U55""}",1,0.225,30782.25,30782.25,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,1034,,BS95-95E,PC,96470,96470,1,"{""sharedFormula"":""I55""}",1,96470,JPY(¥),,28694.0368,0.06783822495106752, SCG GROUP (CAM CLUTCH),1.4181610863480876,136810,136810,136810,"{""sharedFormula"":""U55""}",1,0.225,30782.25,30782.25,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,1043,,BS110-100E,PC,112040,112040,1,"{""sharedFormula"":""I55""}",1,112040,JPY(¥),,33325.1776,0.06788651631259825, SCG GROUP (CAM CLUTCH),1.4182345590860408,158899,158899,158899,"{""sharedFormula"":""U55""}",1,0.225,35752.275,35752.275,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,1044,,BS110-105E,PC,112040,112040,1,"{""sharedFormula"":""I55""}",1,112040,JPY(¥),,33325.1776,0.06788651631259825, SCG GROUP (CAM CLUTCH),1.4182345590860408,158899,158899,158899,"{""sharedFormula"":""U55""}",1,0.225,35752.275,35752.275,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,1045,,BS110-110E,PC,112040,112040,1,"{""sharedFormula"":""I55""}",1,112040,JPY(¥),,33325.1776,0.06788651631259825, SCG GROUP (CAM CLUTCH),1.4182345590860408,158899,158899,158899,"{""sharedFormula"":""U55""}",1,0.225,35752.275,35752.275,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,1041,,BS110-85E,PC,112040,112040,1,"{""sharedFormula"":""I55""}",1,112040,JPY(¥),,33325.1776,0.06788651631259825, SCG GROUP (CAM CLUTCH),1.4182345590860408,158899,158899,158899,"{""sharedFormula"":""U55""}",1,0.225,35752.275,35752.275,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,1042,,BS110-95E,PC,112040,112040,1,"{""sharedFormula"":""I55""}",1,112040,JPY(¥),,33325.1776,0.06788651631259825, SCG GROUP (CAM CLUTCH),1.4182345590860408,158899,158899,158899,"{""sharedFormula"":""U55""}",1,0.225,35752.275,35752.275,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,0963,,BS30-30J,PC,64571,64571,1,"{""sharedFormula"":""I55""}",0.4,25828.4,JPY(¥),,7682.399296000001,-0.006514661766680912, SCG GROUP (CAM CLUTCH),0.525359681590807,33923,33923,33923,"{""sharedFormula"":""U55""}",1,0.225,7632.675,7632.675,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
R31,0974,,BS50-45J,PC,90095,90095,1,"{""sharedFormula"":""I55""}",0.4,36038,JPY(¥),,10719.142720000002,-0.009549360269360598, SCG GROUP (CAM CLUTCH),0.5237804539652589,47189.99999999999,47189.99999999999,47190,1.5418431053577935e-16,1,0.225,10617.749999999998,10617.749999999998,"{""sharedFormula"":""Z55""}",,MC,,,Price valid until March 2025
